No,Kode_Kecamatan,Kode_Kelurahan,Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT,Tanggal Jatuh Tempo,Daerah
1000,320,5,60.0,60.0,335000.0,60636.0,101870.0,0.0,20/12/2019 ,PADALARANG
1001,340,8,800.0,42.0,36000.0,53366.0,16659.0,0.0,20/12/2019 ,CIPEUNDEUY
1002,340,8,1172.0,0.0,36000.0,42192.0,127171.0,29347.0,20/12/2019 ,CIPEUNDEUY
1003,340,8,1000.0,0.0,36000.0,32400.0,159134.0,0.0,20/12/2019 ,CIPEUNDEUY
1004,340,8,1200.0,0.0,36000.0,38880.0,3916.0,1270.0,20/12/2019 ,CIPEUNDEUY
1005,320,6,60.0,21.0,1274000.0,91640.0,3916.0,1270.0,20/12/2019 ,PADALARANG
1006,320,3,2103.0,0.0,335000.0,704505.0,3916.0,1270.0,20/12/2019 ,PADALARANG
1007,210,9,220.0,75.0,103000.0,92394.0,3916.0,1270.0,20/12/2019 ,BATUJAJAR
1008,760,3,420.0,85.0,1862000.0,874040.0,3916.0,1270.0,20/12/2019 ,PARONGPONG
1009,320,6,60.0,29.0,1274000.0,101240.0,3916.0,1270.0,20/12/2019 ,PADALARANG
1010,320,6,60.0,29.0,1274000.0,110404.0,12960.0,0.0,20/12/2019 ,PADALARANG
1011,320,2,2185.0,0.0,614000.0,2683180.0,74520.0,0.0,20/12/2019 ,PADALARANG
1012,310,3,81.0,36.0,1573000.0,183401.0,16640.0,0.0,20/12/2019 ,NGAMPRAH
1013,310,4,60.0,21.0,2176000.0,87456.0,27000.0,0.0,20/12/2019 ,NGAMPRAH
1014,310,4,72.0,36.0,2176000.0,189872.0,26190.0,0.0,20/12/2019 ,NGAMPRAH
1015,320,6,60.0,29.0,1274000.0,101240.0,27000.0,0.0,20/12/2019 ,PADALARANG
1016,760,5,360.0,0.0,4605000.0,3315600.0,88192.0,0.0,20/12/2019 ,PARONGPONG
1017,310,6,85.0,40.0,128000.0,10000.0,10197.0,3307.0,20/12/2019 ,NGAMPRAH
1018,320,6,126.0,80.0,464000.0,152770.0,20394.0,6614.0,20/12/2019 ,PADALARANG
1019,340,8,400.0,0.0,36000.0,14400.0,20394.0,6614.0,20/12/2019 ,CIPEUNDEUY
1020,310,10,20482.0,0.0,48000.0,973136.0,28552.0,9260.0,20/12/2019 ,NGAMPRAH
1021,320,8,70.0,0.0,285000.0,17955.0,31611.0,10252.0,20/12/2019 ,PADALARANG
1022,760,6,26.0,26.0,394000.0,35694.0,4736.0,1536.0,20/12/2019 ,PARONGPONG
1023,330,7,250.0,0.0,14000.0,10000.0,6630.0,2150.0,30/09/2019 ,CIPATAT
1024,190,5,450.0,0.0,10000.0,10000.0,20480.0,0.0,20/12/2019 ,GUNUNGHALU
1025,340,5,100.0,20.0,36000.0,10000.0,159236.0,0.0,20/12/2019 ,CIPEUNDEUY
1026,340,5,200.0,0.0,27000.0,10000.0,111000.0,36000.0,20/12/2019 ,CIPEUNDEUY
1027,310,8,365.0,120.0,128000.0,196776.0,111000.0,36000.0,20/12/2019 ,NGAMPRAH
1028,180,8,4100.0,0.0,10000.0,41000.0,111000.0,36000.0,30/09/2019 ,SINDANGKERTA
1029,180,10,1470.0,0.0,20000.0,29400.0,222000.0,72000.0,30/09/2019 ,SINDANGKERTA
1030,760,4,88.0,35.0,394000.0,48129.0,114960.0,0.0,20/12/2019 ,PARONGPONG
1031,310,4,95.0,29.0,2176000.0,208368.0,159920.0,0.0,20/12/2019 ,NGAMPRAH
1032,290,2,360.0,0.0,4155000.0,1944540.0,119178.0,0.0,20/12/2019 ,LEMBANG
1033,290,2,354.0,0.0,4155000.0,1912131.0,10000.0,0.0,20/12/2019 ,LEMBANG
1034,290,2,462.0,0.0,4155000.0,3839220.0,300000.0,0.0,30/11/2020 ,LEMBANG
1035,290,2,638.0,0.0,4155000.0,3446157.0,12856.0,4169.0,20/12/2019 ,LEMBANG
1036,290,2,648.0,0.0,4155000.0,5384880.0,12856.0,4169.0,20/12/2019 ,LEMBANG
1037,290,2,722.0,0.0,4155000.0,5999820.0,20514.0,6653.0,20/12/2019 ,LEMBANG
1038,290,2,505.0,0.0,4155000.0,2727757.0,22216.0,7205.0,20/12/2019 ,LEMBANG
1039,290,2,669.0,0.0,4155000.0,3613603.0,37814.0,12264.0,20/12/2019 ,LEMBANG
1040,290,2,701.0,0.0,4155000.0,3786451.0,37814.0,12264.0,20/12/2019 ,LEMBANG
