Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT
"126.0,36.0,823000.0,87290.0,76334.0,9374.0"
"96.0,36.0,823000.0,87020.0,9849.0,1209.0"
"140.0,36.0,823000.0,94808.0,77660.0,9537.0"
"106.0,22.0,823000.0,65028.0,68123.0,0.0"
"65.0,22.0,823000.0,53736.0,162246.0,44676.0"
"65.0,22.0,823000.0,53736.0,134029.0,16459.0"
"65.0,22.0,823000.0,43011.0,117570.0,0.0"
"65.0,22.0,823000.0,43011.0,42962.0,842.0"
"65.0,22.0,823000.0,43011.0,57283.0,1123.0"
"106.0,22.0,823000.0,65028.0,57283.0,1123.0"
"65.0,22.0,823000.0,43011.0,97858.0,1918.0"
"65.0,22.0,823000.0,43011.0,49021.0,961.0"
"65.0,22.0,823000.0,53736.0,59362.0,19252.0"
"65.0,22.0,823000.0,53736.0,53442.0,17332.0"
"65.0,22.0,823000.0,53736.0,53442.0,17332.0"
"84.0,22.0,823000.0,67074.0,61257.0,19867.0"
"80.0,22.0,823000.0,64266.0,36190.0,9965.0"
"85.0,22.0,823000.0,53751.0,27450.0,0.0"
"85.0,22.0,823000.0,53751.0,23028.0,2828.0"
"85.0,22.0,823000.0,53751.0,20200.0,0.0"
"132.0,22.0,823000.0,100770.0,15200.0,0.0"
"81.0,22.0,823000.0,64968.0,32929.0,0.0"
"73.0,22.0,823000.0,59352.0,31693.0,0.0"
"67.0,22.0,823000.0,55140.0,32929.0,0.0"
"64.0,22.0,823000.0,53034.0,32929.0,0.0"
"84.0,22.0,823000.0,67074.0,31693.0,0.0"
"120.0,45.0,823000.0,111275.0,59517.0,0.0"
"68.0,22.0,823000.0,55842.0,67849.0,8332.0"
"69.0,22.0,823000.0,56544.0,38841.0,0.0"
"72.0,22.0,823000.0,58650.0,475908.0,0.0"
"136.0,22.0,823000.0,81138.0,37000.0,12000.0"
"60.0,22.0,823000.0,50226.0,49950.0,16200.0"
"60.0,22.0,823000.0,50226.0,49950.0,16200.0"
"60.0,60.0,968000.0,90200.0,49950.0,16200.0"
"60.0,22.0,823000.0,50226.0,49950.0,16200.0"
"60.0,22.0,823000.0,50226.0,49950.0,16200.0"
"60.0,22.0,823000.0,50226.0,66600.0,21600.0"
"60.0,22.0,823000.0,50226.0,62100.0,17100.0"
"60.0,22.0,823000.0,50226.0,45000.0,0.0"
"60.0,22.0,823000.0,50226.0,34287.0,4211.0"
"120.0,45.0,823000.0,111275.0,183520.0,0.0"
"120.0,45.0,823000.0,111275.0,98560.0,0.0"
"120.0,45.0,823000.0,111275.0,100800.0,0.0"
"120.0,45.0,823000.0,111275.0,774900.0,0.0"
"120.0,45.0,823000.0,111275.0,774900.0,0.0"
"90.0,36.0,823000.0,82808.0,19908.0,0.0"
"90.0,36.0,823000.0,82808.0,13080.0,4242.0"
"90.0,36.0,823000.0,82808.0,69528.0,8538.0"
